model,iteration,accuracy,auc,precision,recall,f1
Logistic Regression,1,0.7701767870868562,0.30339158674197936,0.7716346153846154,0.9856704196519959,0.8656179775280899
Logistic Regression,2,0.7686395080707148,0.28276630988786966,0.7724358974358975,0.9826707441386341,0.8649618663077614
Logistic Regression,3,0.776325903151422,0.2772370547049319,0.7787610619469026,0.983739837398374,0.8693309384822631
Logistic Regression,4,0.7524980784012298,0.2968417685148427,0.7530562347188264,0.9798515376458112,0.8516129032258066
Logistic Regression,5,0.7701767870868562,0.2953613018624845,0.7698476343223737,0.9876543209876543,0.8652546191978369
Logistic Regression,6,0.7555726364335127,0.2764876588465296,0.7601296596434359,0.9770833333333333,0.8550592525068368
Logistic Regression,7,0.7678708685626441,0.27855124316196095,0.7790414297319253,0.9696663296258847,0.863963963963964
Logistic Regression,8,0.7671022290545734,0.2741712663815784,0.7721005677210057,0.9774127310061602,0.8627095604893521
Logistic Regression,9,0.765564950038432,0.28247864891898133,0.7748987854251013,0.9725609756097561,0.8625506985128436
Logistic Regression,10,0.765564950038432,0.2923037716615699,0.7734627831715211,0.9745158002038736,0.8624267027514659
Logistic Regression,11,0.7770945426594927,0.287711040622122,0.7933279088689992,0.9643916913946587,0.8705357142857142
Logistic Regression,12,0.7540353574173713,0.2999332443257679,0.7674230145867099,0.9663265306122449,0.8554652213188798
Logistic Regression,13,0.7624903920061491,0.3054779986598167,0.7663702506063056,0.9793388429752066,0.8598639455782313
Logistic Regression,14,0.79707916986933125,0.2782668793195113,0.8117839607201309,0.9668615984405458,0.8825622775800711
Logistic Regression,15,0.7709454265949269,0.3204018055820459,0.775,0.9806122448979592,0.8657657657657658
Logistic Regression,16,0.7686395080707148,0.2820984741230143,0.7691693290734825,0.9876923076923076,0.86484059272564
Logistic Regression,17,0.7717140661029976,0.2912832134528854,0.7832792207792207,0.9698492462311558,0.8666367310282892
Logistic Regression,18,0.7747886241352806,0.3147203109072378,0.784297520661157,0.9673802242609582,0.8662711090826107
Logistic Regression,19,0.7678708685626441,0.294505098752796,0.7719580983078163,0.9805527123848515,0.8638412984670875
Logistic Regression,20,0.7471176018447349,0.3072157278841869,0.7581967213114754,0.9645464025026069,0.8490133088572739
Logistic Regression,21,0.7624903920061491,0.29308565531475733,0.7648475120385233,0.9834881320949432,0.8604966139954854
Logistic Regression,22,0.7847809377401999,0.28416385279170536,0.7998359310910582,0.9643916913946587,0.874439461883408
Logistic Regression,23,0.7663335895465027,0.2506336629870588,0.7720706260032103,0.9796334012219959,0.8635547576301615
Logistic Regression,24,0.7578785549577248,0.3176260522596216,0.7613365155131265,0.9845679012345679,0.8586810228802154
Logistic Regression,25,0.7609531129900077,0.3334772900311583,0.7758620689655172,0.9613428280773143,0.8587005906406179
Logistic Regression,26,0.7663335895465027,0.3038510016187133,0.7753446877534469,0.9725330620549338,0.8628158844765343
Logistic Regression,27,0.7478862413528056,0.30323438650736134,0.7581967213114754,0.965553235908142,0.8494031221303948
Logistic Regression,28,0.7578785549577248,0.29830372563533153,0.7633711507293355,0.9761658031088083,0.8567530695770804
Logistic Regression,29,0.7524980784012298,0.28727543299745345,0.7574013157894737,0.9715189873417721,0.8512014787430684
Logistic Regression,30,0.7671022290545734,0.25915201325178394,0.7747163695299838,0.9745158002038736,0.8632054176072235
Random Forest,1,0.7578785549577248,0.26755184047916963,0.7848537005163512,0.9334698055271239,0.8527349228611502
Random Forest,2,0.776325903151422,0.24208070617906657,0.7914893617021277,0.9528688524590164,0.8647140864714087
Random Forest,3,0.7832436587240584,0.24691024158553707,0.7884130982367759,0.9690402476780186,0.8694444444444444
Random Forest,4,0.7794004611837049,0.2536686677581716,0.7876182287188306,0.9581589958158996,0.8645587541293062
Random Forest,5,0.7701767870868562,0.2435238277268092,0.7860738255033557,0.9551478083588175,0.8624022089277497
Random Forest,6,0.7555726364335127,0.2635704229662733,0.7736170212765957,0.9458896982310093,0.8511235955056179
Random Forest,7,0.7663335895465027,0.251820494823654,0.7837150127226463,0.9496402877697842,0.8587360594795539
Random Forest,8,0.7778631821675634,0.23968560850171222,0.7920203735144312,0.95496417604913,0.8658932714617169
Random Forest,9,0.7686395080707148,0.2776842511083983,0.7943201376936316,0.9370558375634518,0.8598043782021425
Random Forest,10,0.7640276710222905,0.257232384504769,0.7833474936278675,0.946611909650924,0.8572756857275686
Random Forest,11,0.7886241352805534,0.23330377377081454,0.8061224489795918,0.9527638190954774,0.8733302625518194
Random Forest,12,0.781706379707917,0.2536978677314963,0.8051724137931034,0.9415322580645161,0.8680297397769516
Random Forest,13,0.7540353574173713,0.28226243498302545,0.7792096219931272,0.9350515463917526,0.8500468603561386
Random Forest,14,0.781706379707917,0.2590371828782424,0.808455565142364,0.9379379379379379,0.8683966635773863
Random Forest,15,0.7663335895465027,0.2665766070021389,0.7864493996569468,0.9434156378600823,0.8578110383536014
Random Forest,16,0.7647963105303612,0.2573487977509301,0.7832047986289632,0.9451913133402275,0.8566073102155577
Random Forest,17,0.781706379707917,0.2695916670020255,0.8040540540540541,0.9482071713147411,0.870201096892139
Random Forest,18,0.7647963105303612,0.28825298745989,0.7830508474576271,0.9486652977412731,0.8579387186629527
Random Forest,19,0.7671022290545734,0.25073581520663474,0.7934312878133103,0.9348268839103869,0.858345021037868
Random Forest,20,0.7532667179093006,0.2698828844896258,0.764406779661017,0.9544973544973545,0.8489411764705882
Random Forest,21,0.7801691006917756,0.26432819044389605,0.7890756302521008,0.9640657084188912,0.8678373382624769
Random Forest,22,0.7663335895465027,0.2686480632008157,0.785172704296546,0.9500509683995922,0.8597785977859778
Random Forest,23,0.7563412759415834,0.25083110678798753,0.7739204064352244,0.9481327800829875,0.8522144522144522
Random Forest,24,0.7671022290545734,0.2726712697161866,0.7881136950904393,0.941358024691358,0.8579465541490857
Random Forest,25,0.7463489623366641,0.28786381056578125,0.7861524978089395,0.9125127161749745,0.8446327683615819
Random Forest,26,0.7671022290545734,0.2627405638323415,0.7910189982728842,0.9375639713408394,0.8580796252927401
Random Forest,27,0.7617217524980784,0.24343110342854682,0.7750424448217318,0.9530271398747391,0.8548689138576779
Random Forest,28,0.754803996925442,0.2755088220446464,0.7740016992353441,0.9450207468879668,0.8510042036431573
Random Forest,29,0.75941583397386625,0.24500364566524413,0.7715996578272027,0.9514767932489452,0.8521492678318376
Random Forest,30,0.7717140661029976,0.24586754758533919,0.7942708333333334,0.9384615384615385,0.8603667136812412
